what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.epp.usagedata.recording,1.3.1.R201106061540,"org.eclipse.epp.usagedata.recording",1460739726640
started,bundle,org.eclipse.wb.core,1.3.0.r37x201202052311,"org.eclipse.wb.core",1460739726641
started,bundle,org.eclipse.wb.core.lib,1.3.0.r37x201202052311,"org.eclipse.wb.core.lib",1460739726708
started,bundle,org.eclipse.wb.discovery.core,1.3.0.r37x201202052340,"org.eclipse.wb.discovery.core",1460739726709
started,bundle,org.eclipse.wb.discovery.ui,1.3.0.r37x201202052340,"org.eclipse.wb.discovery.ui",1460739726710
os,sysinfo,,,"linux",1460739726714
arch,sysinfo,,,"x86_64",1460739726714
ws,sysinfo,,,"gtk",1460739726714
locale,sysinfo,,,"en_IN",1460739726714
processors,sysinfo,,,"4",1460739726714
java.runtime.name,sysinfo,,,"OpenJDK Runtime Environment",1460739726714
java.runtime.version,sysinfo,,,"1.7.0_95-b00",1460739726714
java.specification.name,sysinfo,,,"Java Platform API Specification",1460739726714
java.specification.vendor,sysinfo,,,"Oracle Corporation",1460739726714
java.specification.version,sysinfo,,,"1.7",1460739726714
java.vendor,sysinfo,,,"Oracle Corporation",1460739726714
java.version,sysinfo,,,"1.7.0_95",1460739726714
java.vm.info,sysinfo,,,"mixed mode",1460739726714
java.vm.name,sysinfo,,,"OpenJDK 64-Bit Server VM",1460739726714
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1460739726714
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1460739726714
java.vm.specification.version,sysinfo,,,"1.7",1460739726714
java.vm.vendor,sysinfo,,,"Oracle Corporation",1460739726714
java.vm.version,sysinfo,,,"24.95-b01",1460739726714
deactivated,workbench,org.eclipse.ui.workbench,3.8.1.dist,"",1460739737920
activated,workbench,org.eclipse.ui.workbench,3.8.1.dist,"",1460739739776
deactivated,workbench,org.eclipse.ui.workbench,3.8.1.dist,"",1460739739788
activated,workbench,org.eclipse.ui.workbench,3.8.1.dist,"",1460739748856
executed,command,org.eclipse.ui,3.8.0.dist,"org.eclipse.ui.edit.paste",1460739750365
started,bundle,org.eclipse.pde.api.tools,1.0.400.dist,"org.eclipse.pde.api.tools",1460739760128
started,bundle,org.eclipse.pde.api.tools.ui,1.0.400.dist,"org.eclipse.pde.api.tools.ui",1460739760145
deactivated,workbench,org.eclipse.ui.workbench,3.8.1.dist,"",1460739795553
